death_date,n,rep_date
2020-03-11,1,2020-04-11
2020-03-13,1,2020-04-11
2020-03-14,1,2020-04-11
2020-03-15,2,2020-04-11
2020-03-16,2,2020-04-11
2020-03-17,2,2020-04-11
2020-03-18,6,2020-04-11
2020-03-19,7,2020-04-11
2020-03-20,10,2020-04-11
2020-03-21,7,2020-04-11
2020-03-22,12,2020-04-11
2020-03-23,11,2020-04-11
2020-03-24,20,2020-04-11
2020-03-25,25,2020-04-11
2020-03-26,30,2020-04-11
2020-03-27,32,2020-04-11
2020-03-28,34,2020-04-11
2020-03-29,37,2020-04-11
2020-03-30,41,2020-04-11
2020-03-31,42,2020-04-11
2020-04-01,47,2020-04-11
2020-04-02,67,2020-04-11
2020-04-03,65,2020-04-11
2020-04-04,57,2020-04-11
2020-04-05,75,2020-04-11
2020-04-06,74,2020-04-11
2020-04-07,60,2020-04-11
2020-04-08,70,2020-04-11
2020-04-09,23,2020-04-11
2020-04-10,13,2020-04-11
2020-04-09,1,2020-04-12
2020-04-10,1,2020-04-12
2020-04-11,8,2020-04-12
2020-04-12,2,2020-04-12
NA,13,2020-04-12
2020-04-09,2,2020-04-13
2020-04-10,3,2020-04-13
2020-04-11,6,2020-04-13
2020-04-12,7,2020-04-13
2020-04-13,2,2020-04-13
2020-03-28,1,2020-04-14
2020-03-29,1,2020-04-14
2020-03-30,1,2020-04-14
2020-03-31,1,2020-04-14
2020-04-01,1,2020-04-14
2020-04-02,2,2020-04-14
2020-04-03,3,2020-04-14
2020-04-04,2,2020-04-14
2020-04-05,1,2020-04-14
2020-04-07,5,2020-04-14
2020-04-08,7,2020-04-14
2020-04-09,17,2020-04-14
2020-04-10,14,2020-04-14
2020-04-11,12,2020-04-14
2020-04-12,24,2020-04-14
2020-04-13,19,2020-04-14
2020-04-14,5,2020-04-14
2020-04-01,1,2020-04-15
2020-04-03,1,2020-04-15
2020-04-04,1,2020-04-15
2020-04-05,2,2020-04-15
2020-04-06,11,2020-04-15
2020-04-07,5,2020-04-15
2020-04-08,13,2020-04-15
2020-04-09,12,2020-04-15
2020-04-10,21,2020-04-15
2020-04-11,24,2020-04-15
2020-04-12,21,2020-04-15
2020-04-13,24,2020-04-15
2020-04-14,26,2020-04-15
2020-04-15,6,2020-04-15
NA,5,2020-04-15
2020-04-01,1,2020-04-16
2020-04-03,2,2020-04-16
2020-04-04,1,2020-04-16
2020-04-05,1,2020-04-16
2020-04-06,3,2020-04-16
2020-04-07,5,2020-04-16
2020-04-08,7,2020-04-16
2020-04-09,8,2020-04-16
2020-04-10,10,2020-04-16
2020-04-11,11,2020-04-16
2020-04-12,8,2020-04-16
2020-04-13,10,2020-04-16
2020-04-14,18,2020-04-16
2020-04-15,35,2020-04-16
2020-04-16,10,2020-04-16
2020-03-30,1,2020-04-17
2020-03-31,1,2020-04-17
2020-04-03,4,2020-04-17
2020-04-04,5,2020-04-17
2020-04-06,2,2020-04-17
2020-04-07,1,2020-04-17
2020-04-08,2,2020-04-17
2020-04-09,3,2020-04-17
2020-04-11,2,2020-04-17
2020-04-12,5,2020-04-17
2020-04-13,1,2020-04-17
2020-04-14,7,2020-04-17
2020-04-15,4,2020-04-17
2020-04-16,28,2020-04-17
2020-04-17,4,2020-04-17
2020-03-30,1,2020-04-18
2020-03-31,1,2020-04-18
2020-04-03,3,2020-04-18
2020-04-04,2,2020-04-18
2020-04-05,2,2020-04-18
2020-04-06,1,2020-04-18
2020-04-07,1,2020-04-18
2020-04-08,2,2020-04-18
2020-04-09,7,2020-04-18
2020-04-10,11,2020-04-18
2020-04-11,10,2020-04-18
2020-04-12,9,2020-04-18
2020-04-13,6,2020-04-18
2020-04-14,4,2020-04-18
2020-04-15,10,2020-04-18
2020-04-16,21,2020-04-18
2020-04-17,16,2020-04-18
2020-04-18,2,2020-04-18
2020-04-01,1,2020-04-19
2020-04-03,1,2020-04-19
2020-04-06,2,2020-04-19
2020-04-07,1,2020-04-19
2020-04-08,1,2020-04-19
2020-04-09,2,2020-04-19
2020-04-10,2,2020-04-19
2020-04-11,1,2020-04-19
2020-04-12,3,2020-04-19
2020-04-13,1,2020-04-19
2020-04-15,1,2020-04-19
2020-04-16,2,2020-04-19
2020-04-17,3,2020-04-19
2020-04-18,7,2020-04-19
2020-04-19,1,2020-04-19
2020-04-09,1,2020-04-20
2020-04-15,1,2020-04-20
2020-04-16,2,2020-04-20
2020-04-17,7,2020-04-20
2020-04-18,10,2020-04-20
2020-04-19,16,2020-04-20
2020-04-20,2,2020-04-20
2020-03-29,1,2020-04-21
2020-04-01,1,2020-04-21
2020-04-03,2,2020-04-21
2020-04-04,1,2020-04-21
2020-04-05,1,2020-04-21
2020-04-07,3,2020-04-21
2020-04-08,4,2020-04-21
2020-04-09,3,2020-04-21
2020-04-10,3,2020-04-21
2020-04-11,10,2020-04-21
2020-04-12,7,2020-04-21
2020-04-13,9,2020-04-21
2020-04-14,7,2020-04-21
2020-04-15,20,2020-04-21
2020-04-16,15,2020-04-21
2020-04-17,19,2020-04-21
2020-04-18,32,2020-04-21
2020-04-19,26,2020-04-21
2020-04-20,19,2020-04-21
2020-04-21,3,2020-04-21
2020-03-24,1,2020-04-22
2020-03-31,1,2020-04-22
2020-04-02,2,2020-04-22
2020-04-04,2,2020-04-22
2020-04-05,2,2020-04-22
2020-04-07,1,2020-04-22
