delay,rmse_a,rmse_b,rmse_d,crps_a,crps_b,crps_d,log_a,log_b,log_d
0,9.974358974358974,12.846153846153847,10.444444444444445,13.296123915786856,12.867728858191452,12.37849264091962,4.481497983555105,4.565790061149871,4.4827265833681995
1,10.363247863247864,11.867521367521368,10.457264957264957,12.748975896067765,12.670486731790083,12.093030707221715,4.4533878881286215,4.54962192331815,4.459028892352758
2,9.743589743589743,10.717948717948717,9.722222222222221,12.223398024820945,12.261243316582817,11.606537199754719,4.431051891483301,4.521971046006296,4.446814630483176
3,9.534188034188034,9.747863247863247,9.542735042735043,11.834588153551904,11.929104564368844,11.364478945633556,4.407193652906334,4.503746594698651,4.4184480819653515
4,8.205128205128204,8.243589743589743,8.034188034188034,11.168833518031908,11.573624727717913,10.822577123993124,4.391751066022204,4.485979283840183,4.410191399004253
5,8.465811965811966,8.376068376068377,7.957264957264957,11.039860471108463,11.460022647636224,10.767928441682054,4.377843949149955,4.470885121235266,4.3945898460195805
6,7.9914529914529915,7.846153846153846,7.487179487179487,10.926667094379182,11.348087497392914,10.696825061995419,4.389860255410109,4.469227803769604,4.407459586067282
7,7.632478632478633,7.44017094017094,7.051282051282051,10.778170967351658,11.277485548026533,10.638643783512663,4.383626878554739,4.462463310247221,4.405631882804762
8,7.384615384615385,7.7094017094017095,6.944444444444445,10.402946354846785,10.883071966471803,10.23571241621018,4.381691972454211,4.449069693797092,4.395282550598864
9,6.572649572649572,6.615384615384615,6.401709401709402,9.957413791353568,10.40525276138218,9.812800462447017,4.350058072848284,4.40379731753988,4.362675483789535
10,6.17948717948718,5.948717948717949,5.696581196581197,9.664364343701733,10.043906178083699,9.583154527169924,4.326286589646916,4.376026485715954,4.3357376257959634
11,5.726495726495727,5.931623931623932,5.414529914529915,9.657694677431184,10.033849455696727,9.557151329031885,4.330003412956322,4.371351422616566,4.338777099870468
12,5.2094017094017095,5.170940170940171,4.82051282051282,9.693278094760572,9.985332654114426,9.608205715471872,4.322280434918382,4.354539719520953,4.3312562152759035
13,5.089743589743589,4.897435897435898,4.6068376068376065,9.914351259368598,10.0946443729688,9.853517964489303,4.34535003624264,4.36340550929647,4.351744792509833
14,4.226495726495727,4.188034188034188,4.128205128205129,9.971846735248338,10.010564301760851,9.854043515293968,4.350022382947832,4.3627431241099925,4.355574918297803
15,3.3162393162393164,3.230769230769231,3.111111111111111,9.804419405887897,9.883639285677575,9.729454293154584,4.340369278359405,4.349216712878817,4.345954879682839
16,2.824786324786325,2.871794871794872,2.6923076923076925,9.61548624910992,9.656387343186967,9.566322656812984,4.3283360339796495,4.327207322191059,4.334368848742145
17,2.2564102564102564,2.2264957264957266,2.1837606837606836,9.218353231260284,9.240126119857877,9.179554850104847,4.292120851590286,4.294307243692944,4.2971369994603785
18,2.1709401709401708,1.8376068376068375,2.0683760683760686,9.077927490377485,9.077657076032558,9.049936380648585,4.27436813816765,4.276700226602715,4.278458341737732
19,1.9871794871794872,1.7991452991452992,1.9273504273504274,9.28251989715969,9.244824888831683,9.239330393752548,4.268301284854965,4.269226092665504,4.272201332643616
20,1.5726495726495726,1.2735042735042734,1.5982905982905984,9.433141286488457,9.406255051868195,9.389193005726941,4.288515208521789,4.287912936457196,4.290578973527805
21,1.393162393162393,1.2222222222222223,1.4444444444444444,9.412519134392719,9.412292058179565,9.375454985080172,4.269703295521094,4.270089425661515,4.273004784293709
22,1.3333333333333333,1.1025641025641026,1.3333333333333333,9.396171888368823,9.39728518621734,9.376673503126185,4.2579764339581665,4.257390772029925,4.260413462899645
23,1.1025641025641026,0.8675213675213675,1.1111111111111112,9.109518135667814,9.106540889347473,9.094135626342263,4.2263422806390585,4.225494846267883,4.228581111524741
24,0.8717948717948718,0.7777777777777778,0.9487179487179487,8.908437024182494,8.90807014775246,8.89810559490469,4.200457817075752,4.199347397521845,4.202276747046091
25,0.9487179487179487,0.9145299145299145,0.9487179487179487,8.903558235961077,8.90361095749661,8.897618221334811,4.2008152621442765,4.199603102819835,4.202978486270988
26,0.8290598290598291,0.7692307692307693,0.8376068376068376,9.050860255084812,9.063254865660364,9.047742025595328,4.190506741392226,4.189365951565188,4.193310209806966
27,0.7606837606837606,0.7435897435897436,0.7692307692307693,9.285932495621982,9.295932685612359,9.285479841642903,4.2171872669650305,4.216722122486077,4.219185996225513
28,0.6324786324786325,0.6495726495726496,0.6410256410256411,9.211993284491916,9.22950770311646,9.216652728927711,4.186418112565673,4.186130090942373,4.188945290278387
29,0.7094017094017094,0.6666666666666666,0.7008547008547008,9.225467410437675,9.241304710724755,9.231993849190891,4.178230298582024,4.17801648327165,4.180597404827267
30,0.48717948717948717,0.452991452991453,0.46153846153846156,8.90645471947208,8.922695535822227,8.912232597979687,4.157565774327182,4.15747628222401,4.16010584639406
31,0.4700854700854701,0.46153846153846156,0.5042735042735043,8.599965229076963,8.61665130053917,8.603078138626218,4.120030209104584,4.120207911809583,4.122077486029472
32,0.39316239316239315,0.41025641025641024,0.4017094017094017,8.773263070095565,8.785244924529461,8.776846260958184,4.135575094597378,4.135948573365084,4.1372383310390966
33,0.5213675213675214,0.5299145299145299,0.5213675213675214,8.858800211290431,8.872845383595985,8.864316841080731,4.105249931717479,4.1051767125577125,4.106505473907207
34,0.42735042735042733,0.4444444444444444,0.42735042735042733,9.042412312123734,9.064175012875527,9.044261378830477,4.1174909251495535,4.118071606219639,4.118208468462776
35,0.4700854700854701,0.4700854700854701,0.4700854700854701,9.009351505930185,9.009351505930185,9.009351505930185,4.086571491377287,4.086571491377287,4.086571491377287
