logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
0.546399,0.630584,0.63936,0.70724,0.783349,0.754834,0.830567,0.816618,0.829479,0.880369,0.899692,0.895829,0.849283,0.766728,0.744416,0.746284,0.861471,0.872053,0.891485,0.894944,0.948528,0.835906,0.83315,0.907201,0.871496,0.819727,0.853076,0.930584,0.942381,0.879431,1.02719,1.03453,1.00346,1.05204,0.919768,1.0248,0.946063,0.978467,0.965854,0.896759,0.852114,0.9543,0.97801,1.04497,1.05798,1.01136,1.02706,1.12069,1.23172,1.26991,1.17434,1.2142,1.26645,1.29635,1.27407,1.29133
0.873856,0.902409,0.871045,0.930433,0.99907,0.796153,0.695155,0.613916,0.616924,0.658436,0.689759,0.732413,0.719409,0.74477,0.744705,0.742489,0.820382,0.789914,0.875661,0.827684,0.771828,0.859556,0.838623,0.858991,0.890588,0.973253,0.927707,0.875115,0.96129,0.858075,0.911932,0.860841,0.910899,1.00401,0.869203,1.04867,1.13262,1.06952,1.03849,0.977715,1.06363,1.10193,1.03973,1.04842,1.04381,1.09962,1.05537,0.989876,1.02104,0.963158,1.01283,0.995124,1.04336,0.988404,1.01756,0.822785
0.749028,0.576565,0.682984,0.707185,0.74692,0.864519,0.88588,1.01486,1.10982,1.16048,0.984157,0.869293,0.715463,0.736671,0.755791,0.744413,0.613902,0.589372,0.663307,0.774304,0.819547,0.917005,0.930329,0.76246100000000006,0.874356,0.834758,0.815768,0.938246,0.919055,1.03,0.990569,1.06606,1.05447,0.943288,0.964205,0.788406,0.872267,0.910173,0.737107,0.83063,0.850431,0.912415,0.910818,0.973984,0.986337,1.02747,1.05646,1.08226,1.15716,1.15797,1.33128,1.48377,1.34795,1.25809,1.10284,1.05007
0.650228,0.544713,0.504871,0.430401,0.380344,0.400653,0.283274,0.4021,0.531717,0.672706,0.711759,0.593251,0.793693,0.807741,0.852809,0.798622,0.773502,0.71372,0.701569,0.732545,0.765159,0.662788,0.629229,0.820651,0.756575,0.729121,0.801914,0.840362,0.90992,0.814094,0.895832,1.12092,1.064,1.03011,1.14975,1.23031,1.35001,1.34087,1.22636,1.18525,1.1249,1.19926,1.17892,1.18759,1.19732,1.03025,0.792602,0.870589,0.770356,0.913582,1.02271,1.03155,0.946866,0.954008,0.809472,0.758686
0.49308,0.497074,0.602913,0.691511,0.866626,0.820866,0.794538,0.680924,0.816499,0.858148,0.573395,0.611849,0.524307,0.606908,0.518593,0.524897,0.484173,0.565833,0.596989,0.612572,0.63058,0.559407,0.59051,0.672846,0.658785,0.591408,0.508535,0.70512,0.74493,0.679995,0.80606,0.98473,1.10174,0.987415,0.905453,1.05571,1.11367,1.12344,1.25528,1.14714,1.1879,0.892505,1.01013,1.02401,1.04985,1.14114,0.956731,0.892489,0.833423,0.892248,0.886394,0.877714,0.889323,0.812478,0.844617,0.825207
0.759453,0.706643,0.635877,0.587263,0.489047,0.531314,0.652213,0.867762,0.669942,0.658222,0.825735,0.733526,0.770719,0.545366,0.524503,0.428294,0.522224,0.488807,0.56142,0.608931,0.561515,0.561035,0.504639,0.479436,0.483124,0.519742,0.713564,0.752432,0.935048,1.03853,0.964215,0.946027,0.852194,0.982275,0.954187,0.826816,0.845181,0.953847,0.885349,0.968814,0.982242,1.24177,1.17799,1.12705,0.973174,0.980198,1.08936,1.144,1.16851,1.11853,1.04224,0.922197,0.991498,0.991686,1.00835,0.953243
0.511403,0.634126,0.685214,0.686332,0.661946,0.707169,0.518231,0.62767,0.611467,0.806347,0.851283,0.651765,0.799424,0.756691,0.652004,0.566151,0.558761,0.419113,0.426848,0.420777,0.472846,0.589426,0.654052,0.693434,0.727067,0.654994,0.726338,0.79971,0.86289,0.808769,0.868195,0.896688,0.903072,0.84588700000000006,0.86659,1.006,1.12763,1.19716,1.20382,1.29766,1.052,1.03183,0.845758,0.872037,0.924794,0.998559,0.941693,0.739381,0.702526,0.852848,0.924718,0.914281,0.922585,0.946745,0.845237,0.894295
0.546032,0.478198,0.56079,0.630336,0.629401,0.675411,0.603761,0.679604,0.951193,0.945779,0.730404,0.719311,0.56699,0.621096,0.681225,0.739637,0.719226,0.82527,0.765118,0.799975,0.818787,0.746741,0.742878,0.76195,0.682936,0.721155,0.765005,0.89206,0.868815,0.883327,0.916897,1.08088,1.10199,1.158,1.13754,1.01715,0.920808,0.855681,0.771659,0.835623,0.834533,0.925663,0.848227,1.02772,1.09614,1.0828,1.09081,0.987757,0.884478,0.942359,0.909945,1.06055,1.09115,1.00659,0.81582,0.754961
0.507171,0.463899,0.505654,0.480126,0.472017,0.655891,0.755482,0.801059,0.709436,0.732903,0.737327,0.766963,0.826587,0.801139,0.747382,0.749836,0.720177,0.752858,0.837326,0.830551,0.78884,0.796434,0.804981,0.798065,0.768179,0.82599,0.748351,0.79472,0.882017,1.02968,0.973569,0.981941,1.00838,0.894395,0.964341,1.06864,1.08007,1.17672,1.21121,1.06583,1.04966,1.06873,0.991065,1.07229,0.842584,0.814212,0.957353,0.995838,1.04586,1.24111,1.21553,1.16844,1.11069,1.12976,1.20681,1.35099
0.96285,1.01568,0.966763,0.873659,0.870453,0.854492,0.905875,0.836553,0.894199,0.896317,0.94558,0.861496,0.817923,0.807471,0.85429,0.870451,0.87132,0.789408,0.794427,0.694434,0.548061,0.642052,0.633331,0.614836,0.638078,0.766767,0.849352,0.854967,0.898588,0.871897,0.883537,0.977799,1.02203,1.13968,1.25081,1.13278,1.12583,1.08848,0.99444,1.06262,1.01551,1.06339,1.26207,1.08592,1.14344,1.16269,1.13887,1.14796,1.13352,1.18092,0.987472,0.948986,0.904701,0.840708,0.911196,1.172
