logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
0.495246,0.457589,0.410549,0.593143,0.518542,0.502968,0.504078,0.522948,0.418181,0.507926,0.47519,0.529117,0.632889,0.616174,0.472472,0.537048,0.500696,0.493646,0.576679,0.57527,0.54304,0.573289,0.64106,0.477751,0.56855,0.485658,0.486458,0.471088,0.578579,0.498807,0.534866,0.587595,0.496048,0.553845,0.546375,0.525925,0.503473,0.408595,0.506304,0.507491,0.590771,0.624765,0.634438,0.693441,0.624322,0.690933,0.56607,0.6044,0.650353,0.69402,0.605121,0.662653,0.654051,0.671602,0.717826,0.5963
0.871342,0.943965,1.02551,0.743488,0.882668,0.876615,0.864917,0.770477,0.936855,0.888882,0.915791,0.828735,0.705147,0.787162,1.01902,0.758699,0.953409,0.92068,0.728784,0.830722,0.841434,0.794254,0.674396,0.969354,0.862461,0.902624,0.899605,0.913356,0.844368,0.903239,0.801677,0.703269,0.90449,0.899843,0.779336,0.87486,0.915641,1.05521,0.895908,0.977959,0.884689,0.727031,0.804488,0.747967,0.78093,0.70707,0.810739,0.778341,0.790329,0.640509,0.805833,0.706455,0.688297,0.706258,0.591841,0.880389
0.852618,0.85313,0.848142,0.849583,0.815623,0.725133,0.704773,0.802177,0.838876,0.871871,0.90553,0.873007,0.903815,0.885968,0.777948,0.689286,0.73809,0.853789,0.931839,0.956182,0.989079,1.0079,1.0051,0.940619,0.873339,0.83797,0.795754,0.779072,0.882803,0.944647,0.947533,0.896762,0.858093,0.986801,0.922142,0.881594,0.907481,0.850522,0.975911,1.02345,1.10591,1.18628,1.17705,1.16699,1.27839,1.27793,1.23618,1.15404,1.23392,1.32913,1.26033,1.24069,1.16348,1.31377,1.33671,1.17727
0.906807,0.954111,1.12679,0.701171,0.790675,0.86478,1.08695,0.651359,0.994136,0.947221,0.860058,0.950217,0.695461,0.770386,1.06464,0.718883,1.02249,1.01596,0.735967,0.784794,0.72312,0.73835,0.599658,0.971829,0.835124,0.684701,0.85747,0.997526,0.731711,0.917004,0.816399,0.597351,0.986732,0.687923,0.703487,0.744039,0.722281,0.957894,0.940142,0.947332,0.78398,0.700344,0.835222,0.67094,0.43722,0.666241,0.54235,0.613184,0.677713,0.606394,0.706867,0.639589,0.512185,0.651167,0.21399,0.824662
1.17708,1.038,1.06728,0.903138,1.00738,1.18391,1.3869,0.8792,0.762387,1.05858,0.530842,0.724362,0.856949,0.856118,1.06727,1.32365,1.09791,0.814588,1.07777,0.875722,0.687956,0.82291,0.803963,0.699002,0.865153,0.779885,1.04588,1.08568,1.04794,0.79726,0.913094,0.712524,1.24822,0.614881,0.801526,0.872853,0.565025,0.90192,0.805073,0.725157,0.741969,0.443365,0.440894,0.680913,0.308595,0.220673,0.571683,0.501303,0.389188,0.257968,0.0601077,0.246333,0.379781,0.0615184,0.234418,0.370083
0.561475,0.692373,0.610856,0.859592,0.547225,0.651154,0.48817,0.607404,0.673253,0.649592,0.80654,0.82362,0.829397,0.591238,0.710389,0.726789,0.722124,0.806861,0.506568,0.509359,0.63735,0.613925,0.602467,0.554749,0.640831,0.758072,0.599815,0.479976,0.618601,0.665611,0.624769,0.676038,0.521179,0.714377,0.702233,0.728881,0.822172,0.882927,0.681137,0.635019,0.715125,0.575399,0.707309,0.586551,0.798782,0.490068,0.459215,0.557093,0.664801,0.476209,0.828905,0.701074,0.685237,0.689583,0.483936,0.741357
0.927809,0.866408,0.846715,0.741886,0.897429,0.699142,0.755517,0.808795,0.865567,0.930884,0.823213,0.816018,0.838407,0.907781,0.794626,0.658025,0.720003,0.824553,0.985844,0.97555,0.973789,0.941024,0.990303,0.981004,0.90468,0.79997,0.789993,0.847231,0.859787,0.976309,1.00388,0.832493,0.908019,0.971998,0.900738,0.834105,0.860015,0.786498,0.99109,1.04501,1.10789,1.23693,1.16643,1.19506,1.2397,1.31389,1.27516,1.25413,1.25089,1.35447,1.23581,1.23067,1.16381,1.28256,1.38673,1.1291
0.587212,0.708476,0.910672,1.11058,0.3387,1.12988,0.682582,0.53935,0.647484,0.480909,0.827506,1.15594,0.962514,0.747035,0.770058,1.07574,1.08442,1.01574,0.345678,0.514911,0.553362,0.792114,0.644656,0.618013,0.698194,0.776751,0.851618,0.767902,0.894005,0.500123,0.404718,0.996967,0.696036,0.700122,0.898314,0.771916,1.05228,0.986625,0.672715,0.600208,0.412578,0.227974,0.594306,0.406517,0.608008,0.244335,0.290787,0.146374,0.388721,0.187601,0.443876,0.263344,0.285483,0.501278,-0.0492467,0.430228
0.748057,0.746791,0.742874,0.700672,0.711787,0.579563,0.58656,0.668891,0.746456,0.750323,0.783722,0.739016,0.741977,0.745586,0.665915,0.540646,0.619899,0.741185,0.791192,0.829187,0.868528,0.863909,0.865839,0.828512,0.747302,0.704969,0.663835,0.664634,0.74378,0.828724,0.83017,0.743134,0.74659,0.867104,0.78303,0.745481,0.780842,0.741254,0.865913,0.907978,0.990287,1.07305,1.06971,1.03063,1.14684,1.15195,1.11153,1.0338,1.11067,1.19323,1.14906,1.11193,1.03223,1.18828,1.19649,1.06965
0.736811,0.72981,0.702161,0.68969,0.67301,0.689902,0.629342,0.706689,0.733758,0.74636,0.700864,0.748468,0.734506,0.668752,0.700744,0.673262,0.739452,0.732225,0.683977,0.72748,0.688493,0.744363,0.780664,0.73809,0.717047,0.701457,0.686522,0.719787,0.740558,0.750531,0.799992,0.695728,0.715852,0.746465,0.732203,0.737411,0.747634,0.752074,0.785202,0.760167,0.781692,0.819763,0.815308,0.785278,0.843636,0.886476,0.807242,0.806753,0.879309,0.82958,0.87618,0.835779,0.834312,0.894102,0.828,0.822678
