logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
1.05444,1.04294,0.887204,0.86652,0.91351,1.04511,0.94652,0.78509,0.945161,1.01408,1.0584,0.974656,1.12147,1.04261,0.902574,1.08202,1.0676,1.07208,1.14179,1.27952,1.15125,1.09239,1.28608,1.10707,1.05978,1.31803,1.24262,1.21333,1.12922,1.22104,1.17566,0.945267,1.05918,1.13428,1.04285,1.11688,1.13017,1.04198,0.966702,1.03983,0.822423,0.849387,0.843166,0.820694,0.79021,0.770761,0.574098,0.540714,0.655426,0.639568,0.397628,0.517756,0.450632,0.48837,0.509312,0.399912
0.380849,0.174504,0.967325,0.62489,0.72931,0.718396,1.07282,0.981931,0.478182,0.444474,0.576262,0.677936,0.561852,1.14628,0.837574,0.884321,0.507185,0.918553,0.594843,0.297697,0.861325,0.557547,0.972488,0.705388,1.02102,0.601241,0.500799,0.591823,0.27489,0.459918,0.936671,0.934932,0.761141,0.595618,0.607587,0.732004,0.642446,0.516866,0.510323,0.767389,1.14862,1.38446,1.14571,1.31666,1.54081,1.16196,1.64605,1.81153,1.3469,1.3253,1.93651,1.87362,1.90683,1.60434,1.74758,1.76449
1.01337,1.04502,0.9629,1.04406,0.916797,0.909024,0.895934,0.85919,0.912726,0.91387,0.839537,0.799062,0.802719,0.748858,0.853667,0.788424,0.816089,0.800615,0.833342,0.850862,0.753832,0.778199,0.762563,0.752032,0.758092,0.839704,0.811824,0.774319,0.82292,0.819034,0.7602,0.65739,0.762785,0.790955,0.848408,0.815145,0.901229,0.911886,0.866004,0.82296,0.781586,0.71468,0.703186,0.66714,0.69515,0.731141,0.653962,0.618235,0.673973,0.754832,0.635005,0.654897,0.620538,0.607485,0.657853,0.609302
0.83518,0.951591,0.974214,1.03477,0.995066,0.791508,0.871523,0.858659,0.705312,0.800653,0.702768,0.792084,0.832713,0.803588,0.796793,0.68658,0.728892,0.808253,0.923875,0.660187,0.563783,0.643824,0.486154,0.625478,0.672798,0.564456,0.665105,0.786963,0.641843,0.710279,0.684222,0.78177,0.616301,0.929059,0.59701,0.736825,0.821545,0.828868,0.808234,0.820894,0.81213,0.65627,0.707931,0.679411,0.896194,0.866002,0.945074,1.08556,0.724358,0.814518,0.894466,0.872817,0.958328,1.01297,0.94926,0.979788
0.841573,1.07388,1.0707,1.17427,1.06867,0.929355,0.968979,0.97297,0.695806,1.09504,0.573062,0.710809,0.932397,0.719043,0.724992,0.479861,0.812707,0.917615,1.08204,0.60262,0.688862,0.578956,0.404863,0.630372,0.747132,0.365261,0.892492,0.877295,0.56115,0.788179,0.604514,0.878678,0.602105,1.16224,0.649456,0.819537,0.938294,1.0364,0.74914,0.799893,0.897092,0.541871,0.572812,0.472553,0.905171,0.771187,0.780959,1.05934,0.437121,0.680809,0.63261,0.586135,0.683621,0.763322,0.746757,0.71623
1.07847,0.961966,0.779174,0.521387,0.312433,0.665941,0.768168,0.270434,0.718337,0.593212,0.635372,0.342227,0.15805,0.344156,0.561751,0.987946,0.393974,0.26163,0.286729,0.841926,0.732583,0.533548,0.840319,0.14886,0.553002,0.957861,0.482888,0.554393,0.920679,0.283406,1.04838,0.204291,0.386105,0.505597,0.44047,0.534825,0.461006,0.710672,0.385421,1.05185,1.00612,0.56595,0.569055,0.415277,0.486174,0.55949,0.307933,-0.02615,0.617273,0.451372,0.450995,0.166322,0.114321,-0.484878,0.133572,0.217242
0.797867,0.850373,0.85149,0.979209,0.77137,0.836499,0.818961,0.699656,0.854076,0.876342,0.657567,0.869227,0.875837,0.803441,0.791821,0.746648,0.759425,0.798193,0.738387,0.786487,0.618855,0.757135,0.657269,0.653771,0.705796,0.75041,0.886488,0.739272,0.62588,0.790649,0.703653,0.787892,0.849208,0.773172,0.76095,0.750805,0.830214,0.786916,0.79213,0.759834,0.850981,0.744623,0.853922,0.804425,0.940794,0.877832,0.83414,1.06642,0.958101,1.00288,0.919814,1.04003,1.02927,1.17436,1.04734,1.05515
1.527,1.58753,1.25047,0.523893,0.824282,0.722261,1.16844,1.08731,0.550974,1.18651,0.933688,0.659976,0.0840319,0.323845,0.795305,0.823266,0.695456,0.761541,0.827678,0.231805,1.44692,0.854492,0.987517,0.873604,0.333981,1.27165,0.340277,0.790429,1.07471,0.61047,0.666594,0.541938,0.391315,0.860786,0.802187,0.741018,0.845085,0.860311,1.03774,0.590123,0.845083,1.18814,0.194263,0.636335,0.435221,0.989028,0.585724,0.244998,0.389573,0.891114,0.246419,0.0591365,0.0729916,-0.279747,0.229955,0.51954
0.524122,0.690687,0.739571,0.925152,0.648559,0.8038,1.04953,0.503182,0.837909,0.976172,0.651329,0.877606,1.17786,0.911924,0.812674,0.72849,0.750043,0.692327,0.766163,1.09096,0.484883,0.638271,0.438744,0.43527,0.863605,0.574252,0.993183,0.673117,0.662669,1.02877,1.14348,0.970385,1.01894,0.894637,0.652091,0.89092,0.701145,0.810149,0.681181,1.24567,1.06579,0.582727,1.19181,0.694048,1.34904,0.84066,0.867937,0.961711,0.975898,0.739701,1.10149,1.20243,0.965689,1.45173,0.940821,0.670004
0.117608,1.21126,1.37616,1.30106,-0.156228,0.364387,1.12357,-0.0686657,0.482741,0.871163,0.719147,0.562798,1.47152,1.08358,1.43968,0.39097,0.530383,0.821627,0.660378,1.23716,0.167287,0.769345,0.304636,0.484125,0.852325,0.329114,0.506198,-0.433148,0.782499,0.790005,1.25536,0.339656,0.475763,0.967219,0.353119,0.533863,1.01323,0.955335,0.781598,1.59394,1.55247,0.05446,1.21264,0.20547,1.89851,1.10909,0.187577,0.771143,0.648551,0.607331,0.759846,-0.0108148,0.311132,1.37322,-0.101224,0.137222
