logLambda.1.,logLambda.2.,logLambda.3.,logLambda.4.,logLambda.5.,logLambda.6.,logLambda.7.,logLambda.8.,logLambda.9.,logLambda.10.,logLambda.11.,logLambda.12.,logLambda.13.,logLambda.14.,logLambda.15.,logLambda.16.,logLambda.17.,logLambda.18.,logLambda.19.,logLambda.20.,logLambda.21.,logLambda.22.,logLambda.23.,logLambda.24.,logLambda.25.,logLambda.26.,logLambda.27.,logLambda.28.,logLambda.29.,logLambda.30.,logLambda.31.,logLambda.32.,logLambda.33.,logLambda.34.,logLambda.35.,logLambda.36.,logLambda.37.,logLambda.38.,logLambda.39.,logLambda.40.,logLambda.41.,logLambda.42.,logLambda.43.,logLambda.44.,logLambda.45.,logLambda.46.,logLambda.47.,logLambda.48.,logLambda.49.,logLambda.50.,logLambda.51.,logLambda.52.,logLambda.53.,logLambda.54.,logLambda.55.,logLambda.56.
0.486464,0.477465,0.454324,0.536423,0.52882,0.611706,0.59263,0.56035,0.616827,0.710879,0.694172,0.72229,0.728946,0.676243,0.800448,0.911627,0.826746,0.783126,0.749375,0.766393,0.833357,0.844989,0.85957,0.934685,1.07936,0.863975,0.77829,0.815953,0.846951,0.840658,0.83239,0.827208,0.897454,0.987817,1.00788,1.05251,1.02838,1.01253,1.01027,1.07138,1.06914,1.03486,0.970785,1.06163,1.06366,0.993905,1.01116,0.969145,0.901881,0.886455,0.841254,0.851905,0.912047,0.84516,0.878815,0.852243
0.476333,0.530959,0.574407,0.632747,0.553965,0.592348,0.638564,0.615364,0.582127,0.643313,0.634791,0.705182,0.782373,0.831232,0.943809,0.823379,0.765784,0.758133,0.770059,0.786006,0.786346,0.819608,0.805612,0.871837,0.969963,0.843494,0.784798,0.738097,0.730309,0.756789,0.868167,0.886732,0.983111,1.01568,1.03281,1.06509,1.09885,1.06529,0.980739,1.03426,0.988607,1.02706,1.03389,1.02633,0.974353,0.929824,0.957504,0.912953,0.945713,0.851873,0.762499,0.8048,0.806706,0.787501,0.78881,0.894975
0.877458,0.82068,0.77405,0.830286,0.738858,0.84313,0.866681,0.835142,0.753675,0.658452,0.696605,0.666306,0.686414,0.660483,0.686637,0.538176,0.495549,0.562451,0.615696,0.570498,0.503204,0.595373,0.63853,0.716589,0.716749,0.784973,0.785036,0.776564,0.767274,0.76308,0.832872,0.819326,0.872453,0.927772,0.901482,0.832421,0.954407,0.951012,0.948441,0.904176,0.840566,0.947101,0.935569,0.951232,1.02155,1.00805,0.910582,0.930786,0.972689,0.922198,0.934189,0.932956,0.889895,0.896638,0.921782,0.994008
0.88055,0.874913,0.849439,0.853762,0.802213,0.770302,0.738826,0.659282,0.634835,0.701306,0.710196,0.658107,0.594627,0.567967,0.705974,0.72162,0.625399,0.57586,0.608201,0.581606,0.626961,0.772447,0.741502,0.816112,0.920578,0.844894,0.698196,0.77019,0.881021,0.864143,0.838337,0.798434,0.851282,0.842504,0.860019,0.936127,0.979742,0.892486,0.855087,0.783255,0.85943,0.837069,0.826796,0.912213,0.916476,0.918305,0.885875,0.911947,0.774511,0.73897,0.65177,0.669823,0.737153,0.640349,0.684354,0.714091
0.772056,0.75993,0.819711,0.880061,0.834773,0.870131,0.814398,0.683179,0.586665,0.557743,0.678375,0.69715800000000006,0.659403,0.56478,0.582879,0.530592,0.517951,0.567854,0.64664,0.611435,0.65763,0.721496,0.76731,0.756123,0.725168,0.887004,0.828646,0.772982,0.741493,0.697689,0.723731,0.68419,0.734234,0.859034,0.792874,0.789838,0.911905,0.977139,0.956824,0.892021,0.982506,1.10585,1.07728,0.991409,0.989943,0.963621,0.901452,0.878681,0.857243,0.795419,0.672432,0.676406,0.751731,0.768805,0.717266,0.821728
1.29243,1.18998,1.0694,0.953556,0.857728,0.855325,0.923382,0.932429,0.777653,0.645908,0.724846,0.675039,0.56597,0.571335,0.622784,0.661704,0.672299,0.729863,0.789041,0.698253,0.76213,0.831322,0.77716,0.802753,0.765647,0.685772,0.719208,0.716995,0.832587,0.954141,0.915223,0.84978,0.924404,0.929196,0.935233,0.997625,1.00643,1.06354,0.981792,0.993071,1.13429,1.10384,1.16506,1.28062,1.19893,1.21057,1.19768,1.18239,1.08353,1.02162,1.05077,0.918992,0.890917,0.984327,0.975687,0.952776
0.922714,0.940237,0.816526,0.728594,0.805567,0.809145,0.864839,0.912519,0.852018,0.856147,0.802729,0.856533,0.872054,0.778046,0.651269,0.508603,0.584932,0.638465,0.662574,0.700465,0.612805,0.66941,0.689597,0.543856,0.5325,0.662998,0.785895,0.898682,0.903392,1.00066,0.998682,1.01628,0.940131,0.855949,1.01273,0.923148,0.974113,0.958582,0.925813,0.913044,0.979677,0.914022,0.974443,0.9574,0.894864,0.92339,0.953885,1.06883,1.02316,1.14095,1.18924,1.30363,1.41113,1.57484,1.55829,1.64561
0.77738,0.700089,0.727956,0.62806,0.664643,0.632895,0.617471,0.635336,0.707324,0.78906,0.759649,0.780817,0.802613,0.794918,0.693155,0.580883,0.66178,0.811135,0.778298,0.778889,0.670003,0.731875,0.755397,0.656594,0.485423,0.763117,0.859467,0.872422,0.914644,1.01108,1.16585,1.21636,1.11883,0.964338,0.887178,0.890853,0.755649,0.886303,0.990599,1.07554,0.942732,0.981225,1.0929,0.944286,1.02685,1.08904,1.13338,1.3451,1.3266,1.45253,1.50235,1.45128,1.40012,1.46081,1.38633,1.38156
0.451329,0.462937,0.493353,0.51967699999999994,0.459445,0.387126,0.413954,0.481466,0.477817,0.424518,0.455027,0.434497,0.382186,0.365836,0.299768,0.329052,0.422345,0.472111,0.54722,0.649427,0.659401,0.606586,0.655771,0.663673,0.489714,0.623633,0.704627,0.647694,0.638538,0.692055,0.656647,0.728407,0.692054,0.663112,0.599511,0.53649,0.644321,0.71398,0.851484,0.918666,0.930451,0.987461,1.09294,0.97507,0.914295,1.0208,1.00879,1.09589,1.15818,1.24962,1.34049,1.34162,1.38085,1.45745,1.46849,1.46795
0.341574,0.409761,0.360725,0.27425,0.275124,0.363266,0.396336,0.387646,0.392628,0.425991,0.548116,0.498508,0.490626,0.474315,0.397886,0.364777,0.44565,0.479045,0.525636,0.423645,0.43092,0.454196,0.405803,0.43962,0.420947,0.538632,0.674953,0.640208,0.70365,0.767844,0.918403,0.883817,0.966751,0.909693,0.807043,0.711747,0.704075,0.73367,0.799526,0.784208,0.892809,0.838506,0.800916,0.829576,0.876126,0.972013,0.929383,0.935919,0.985636,1.08174,1.13762,1.27243,1.33837,1.47734,1.4926,1.46545
