date,med_a,q5_a,q95_a,med_b,q5_b,q95_b,med_b_c,q5_b_c,q95_b_c,med_c,q5_c,q95_c,med_d,q5_d,q95_d,med_d_c,q5_d_c,q95_d_c,med_e,q5_e,q95_e,n_true_retro,err_a_7,err_b_7,err_d_7,log_a_7,log_b_7,log_d_7,crps_a_7,crps_b_7,crps_d_7
2020-10-20,3,0,12,3,0,7,3,0,9,6,1,17,6,1,18,4,0,17,6,0,20,4,1.2857142857142858,1.1428571428571428,3,1.8004736856610575,1.496601219477385,2.45799219307607,0.8270424642857142,0.7045865625,2.0259935803571425
2020-10-21,3,0,8,2,0,7,3,0,9,5,1,13,4,0,11,3,0,11,3,0,11,3,0.7142857142857143,1.1428571428571428,0.8571428571428571,1.318588948370064,1.2528061569238909,1.8320784026207768,0.6415091696428571,0.6480543660714285,0.8533122767857141
2020-10-22,2,0,7,2,0,7,3,0,8,5,0,12,3,0,9,2,0,8,2.5,0,8,9,2,2,1.5714285714285714,2.036539581937844,2.0224212306393734,1.8619710716099913,1.4534199285714287,1.4755366875000002,1.1698964464285715
2020-10-23,2,0,7,2,0,6,3,0,8,4,0,11,2,0,8,2,0,7,2,0,8,7,2.857142857142857,2.857142857142857,2.7142857142857144,2.4389678066860125,2.391461560072271,2.424511392487699,2.0700039375,2.1018046339285714,1.8359262589285716
2020-10-27,5,0,22.02500000000009,3,0,9,4,0,11,9,2,25,6,1,33,6,1,24,8,1,35,10,3,4.142857142857143,2.5,2.7094031866416546,3.08456057827242,2.6020221450996694,1.9301804196428571,3.0233109732142855,1.6097724910714284
2020-10-28,3,0,10,3,0,8,4,0,10,6,1,18,4,0,13,4,0,12,4,0,15,9,5,5.285714285714286,4.714285714285714,3.809610868505317,4.5071957078767095,3.4487345764912907,3.7824864642857143,4.185932187500001,3.238547517857143
2020-10-29,5,0,17,4,0,12,5,1,12,9,2,24,7,1,27,6,1,23,8,1,32,9,3.7142857142857144,4.714285714285714,3,3.031685101737595,3.7510914690284056,2.7971655523722543,2.3745105892857143,3.5090410000000003,1.7911732142857142
2020-10-30,4,0,11,4,0,12,4,1,12,9,2,25,5,1,16,5,1,16,6,1,22,10,5.142857142857143,5.142857142857143,4.571428571428571,3.8431144309131384,3.8408287397347065,3.321109203530312,3.7905375,3.8073086875,3.0591701785714287
2020-11-03,19,5,76,9,2,23,12,4,28,62,21,206,29,8,114.02500000000009,29,7,110.02500000000009,31,8,129.0250000000001,20,5.142857142857143,5.428571428571429,8.857142857142858,3.35352549569072,3.3951061224961894,3.6470396952439534,4.229753491071428,4.140581517857143,6.5226304910714274
2020-11-04,14,4,43.02500000000009,11,3,24,12,4,26,41,15,103,19,5,54,20,5,59.02500000000009,20,6,64,21,4.285714285714286,6.571428571428571,3.4285714285714284,3.037704048116729,3.727680765820813,3.0517420164972298,2.7452927053571425,4.898927267857143,2.594384901785714
2020-11-05,11,3,33,10,3,22,11,4,24,31,12,75,15,4,42,16,5,49,16,4,49.02500000000009,23,7.428571428571429,9.142857142857142,5.571428571428571,3.7389270735797777,4.599226516501809,3.372553708391767,5.157250330357143,6.880872571428572,3.7071390267857143
2020-11-06,16,5,48,13,5,27,15,6,30,51,22,116,20,6.9750000000000085,54,24,8,77,23,8,70.02500000000009,25,5.571428571428571,8.142857142857142,3.7142857142857144,3.471291967025807,4.326683152636547,3.1970288565769294,3.556046482142857,5.740903044642858,2.8029255357142855
2020-11-10,22,7,63,23,10,46,20,9,38,268,100.97500000000001,813.0500000000002,29,10,74.02500000000009,37,12,101,36,11,99.02500000000009,35,5.428571428571429,7,3.2857142857142856,3.424916392561173,3.442115429934209,3.268091174321851,3.6930706428571427,4.315055544642857,2.8367107767857136
2020-11-11,16,5,42,19,8,36,20,9,36,158,52,495.0500000000002,21,7,48,24,6,66,23,6,65,27,12.285714285714286,11.142857142857142,10.142857142857142,4.501039334835873,4.3683654228548585,4.043367735768548,8.647392535714285,7.635704285714286,6.653015544642858
2020-11-12,30,10,76,25,11,48,28,14,51,198,64,594.0500000000002,38,14,92,51,17,139,46,15,127,28,3.7142857142857144,3.7142857142857144,5,3.310616878278031,3.1703702980761213,3.365856316901608,3.158264428571428,2.8096077857142854,3.8675580624999992
2020-11-13,35,12,94.02500000000009,28,12,54,32,15,57,210,72,633,42,16,104,67,23,174,53,15,155,33,5.285714285714286,4.142857142857143,7.714285714285714,3.4303682550889216,3.214731594819826,3.505721409221353,4.2800239910714275,2.889287571428571,5.3648963303571415
2020-11-17,86,31,279,46,23,89,51,27,89,513.5,148.97500000000002,1781.3250000000012,91,35,250,152,51.97500000000001,453,131,44.97500000000001,407.0750000000003,44,41.285714285714285,10.857142857142858,45.57142857142857,5.59741634638847,3.9775075696915914,5.993021331606205,30.107113383928567,7.65153294642857,33.81184496428571
2020-11-18,69,25.97500000000001,179,53,28.97500000000001,89,48,27,79,321,90,1116.1750000000006,75,32,166.0250000000001,101,37,251,90,35,230.0250000000001,51,25.428571428571427,8.142857142857142,30.142857142857142,4.831806131831594,3.73902347177409,5.301010858897147,17.769889848214284,6.133759330357142,21.503198732142856
2020-11-19,48,17,132,49,26,85.02500000000009,40,21,69,303,75.97500000000001,1136.0750000000003,53,21,130.0250000000001,65,24,165,58,21,154,46,3.2857142857142856,3.857142857142857,6.714285714285714,3.636962398033359,3.3733203104499325,3.7390358193388042,4.556766705357141,3.287283794642857,5.6415769285714275
2020-11-20,61,23,159,51,27,86.02500000000009,39,20,65,279,73,1045.0500000000002,60,25,140,77,32,186.0250000000001,72,29,174,47,10.857142857142858,5,10.857142857142858,3.867967776758543,3.426339925174181,3.8407168846181485,7.852360491071427,3.781813303571428,7.4232778124999985
