date,med_b,q5_b,q95_b,type,now,delay,weekday
2020-09-15,0.8139025,0.4814834,1.1595250000000001,mod_b,2020-09-15,0,3
2020-09-16,1.020645,0.7070075499999999,1.3305827500000003,mod_b,2020-09-16,0,4
2020-09-17,1.038525,0.726732425,1.3372045000000001,mod_b,2020-09-17,0,5
2020-09-18,1.0133999999999999,0.7130367999999999,1.299399,mod_b,2020-09-18,0,6
2020-09-22,0.8769880000000001,0.5931219249999999,1.14598675,mod_b,2020-09-22,0,3
2020-09-23,0.7797505,0.51487855,1.04036175,mod_b,2020-09-23,0,4
2020-09-24,0.8092889999999999,0.54522012500000006,1.06461825,mod_b,2020-09-24,0,5
2020-09-25,0.7754175,0.51365985,1.0190050000000002,mod_b,2020-09-25,0,6
2020-09-29,0.79193,0.543816975,1.03812225,mod_b,2020-09-29,0,3
2020-09-30,0.7792650000000001,0.507798025,1.0420245000000001,mod_b,2020-09-30,0,4
2020-10-02,0.5889800000000001,0.32764204999999996,0.819232125,mod_b,2020-10-02,0,6
2020-10-06,0.6805285000000001,0.420942725,0.922388925,mod_b,2020-10-06,0,3
2020-10-07,0.762092,0.48369312500000006,1.0125632500000001,mod_b,2020-10-07,0,4
2020-10-09,0.7363145,0.500798525,0.9655156,mod_b,2020-10-09,0,6
2020-10-13,0.4986,0.25284402500000003,0.719482625,mod_b,2020-10-13,0,3
2020-10-14,0.6949275,0.45637727499999997,0.9177305500000001,mod_b,2020-10-14,0,4
2020-10-15,0.7574510000000001,0.5148575750000001,0.97836535,mod_b,2020-10-15,0,5
2020-10-16,0.7521295,0.5066601,0.97876505,mod_b,2020-10-16,0,6
2020-10-20,0.7634875,0.5258050500000001,0.9930918000000001,mod_b,2020-10-20,0,3
2020-10-21,0.76271,0.51827445,0.9942842,mod_b,2020-10-21,0,4
2020-10-22,0.794705,0.55275045,1.0258745000000002,mod_b,2020-10-22,0,5
2020-10-23,0.7963335,0.5568651499999999,1.01939725,mod_b,2020-10-23,0,6
2020-10-27,0.7966725,0.55747485,1.02098375,mod_b,2020-10-27,0,3
2020-10-28,0.80151,0.56902275,1.0296555,mod_b,2020-10-28,0,4
2020-10-29,0.8074175,0.5579892,1.04317525,mod_b,2020-10-29,0,5
2020-10-30,0.7703355000000001,0.50776995,1.0155257500000001,mod_b,2020-10-30,0,6
2020-11-03,0.7552375,0.4702888250000001,1.012615,mod_b,2020-11-03,0,3
2020-11-04,0.787399,0.512419375,1.0425659999999999,mod_b,2020-11-04,0,4
2020-11-05,0.746734,0.457733925,1.01879,mod_b,2020-11-05,0,5
2020-11-06,0.7227779999999999,0.428459325,1.001232,mod_b,2020-11-06,0,6
2020-11-10,0.7279625,0.441260925,1.0029985000000001,mod_b,2020-11-10,0,3
2020-11-11,0.5819835,0.279704875,0.8597906750000001,mod_b,2020-11-11,0,4
2020-11-12,0.451593,0.133199,0.7399158750000001,mod_b,2020-11-12,0,5
2020-11-13,0.532952,0.231069975,0.8243898500000001,mod_b,2020-11-13,0,6
2020-11-17,0.45525499999999997,0.13615547500000005,0.7421912,mod_b,2020-11-17,0,3
2020-11-18,0.4024205,0.083745595,0.7001228500000001,mod_b,2020-11-18,0,4
2020-11-19,0.16901549999999999,-0.1642252,0.49300627500000005,mod_b,2020-11-19,0,5
2020-11-20,0.1083065,-0.212136625,0.41807122500000005,mod_b,2020-11-20,0,6
