date,med_b,q5_b,q95_b,type,now,delay,weekday
2020-09-15,1.1675550000000001,1.06144975,1.2908472500000001,mod_b,2020-09-15,0,3
2020-09-16,0.140335,0.05760317000000001,0.2208709,mod_b,2020-09-16,0,4
2020-09-17,0.1238035,0.0413819325,0.20387115000000006,mod_b,2020-09-17,0,5
2020-09-18,0.303023,0.25126975,0.3514874250000001,mod_b,2020-09-18,0,6
2020-09-22,0.4063295,-0.047331202499999996,0.8472172500000001,mod_b,2020-09-22,0,3
2020-09-23,0.098206,-0.3410388,0.55511465,mod_b,2020-09-23,0,4
2020-09-24,0.00787311,-0.4098809,0.43663285000000013,mod_b,2020-09-24,0,5
2020-09-25,-0.0163399,-0.454098925,0.43172092500000014,mod_b,2020-09-25,0,6
2020-09-29,0.0940064,-0.32968264999999997,0.5331519000000003,mod_b,2020-09-29,0,3
2020-09-30,0.235526,-0.17791864999999998,0.6641377250000001,mod_b,2020-09-30,0,4
2020-10-02,0.1738665,-0.255882725,0.5850388500000001,mod_b,2020-10-02,0,6
2020-10-06,0.1808945,-0.24227795,0.5959946500000001,mod_b,2020-10-06,0,3
2020-10-07,0.2125595,-0.22426074999999998,0.6320482250000001,mod_b,2020-10-07,0,4
2020-10-09,0.2077755,-0.22304697499999998,0.650423275,mod_b,2020-10-09,0,6
2020-10-13,-0.03291405,-0.497653475,0.40915492500000006,mod_b,2020-10-13,0,3
2020-10-14,0.256584,-0.16948777499999998,0.6930786,mod_b,2020-10-14,0,4
2020-10-15,0.0881863,-0.392286325,0.5564936500000001,mod_b,2020-10-15,0,5
2020-10-16,0.08063255,-0.382289225,0.5540921250000002,mod_b,2020-10-16,0,6
2020-10-20,0.07258615,-0.388372275,0.5465690000000001,mod_b,2020-10-20,0,3
2020-10-21,-0.1178075,-0.622671125,0.42149330000000007,mod_b,2020-10-21,0,4
2020-10-22,-0.0928966,-0.645331025,0.5007080000000003,mod_b,2020-10-22,0,5
2020-10-23,0.007022275,-0.5241201999999999,0.5503278500000001,mod_b,2020-10-23,0,6
