death_date,name,value,model
2020-11-25,q_5_emp,8,r
2020-11-25,q_05_emp,2,r
2020-11-25,q_95_emp,16,r
2020-11-25,q_5_est,8,r
2020-11-25,q_05,2,r
2020-11-25,q_95,21,r
2020-11-26,q_5_emp,6,r
2020-11-26,q_05_emp,5,r
2020-11-26,q_95_emp,21,r
2020-11-26,q_5_est,8,r
2020-11-26,q_05,1,r
2020-11-26,q_95,20,r
2020-11-27,q_5_emp,11,r
2020-11-27,q_05_emp,4,r
2020-11-27,q_95_emp,19,r
2020-11-27,q_5_est,7,r
2020-11-27,q_05,4,r
2020-11-27,q_95,20,r
2020-11-28,q_5_emp,10,r
2020-11-28,q_05_emp,3,r
2020-11-28,q_95_emp,18,r
2020-11-28,q_5_est,6,r
2020-11-28,q_05,3,r
2020-11-28,q_95,19,r
2020-11-29,q_5_emp,9,r
2020-11-29,q_05_emp,2,r
2020-11-29,q_95_emp,17,r
2020-11-29,q_5_est,9,r
2020-11-29,q_05,2,r
2020-11-29,q_95,19,r
2020-11-30,q_5_emp,8,r
2020-11-30,q_05_emp,2,r
2020-11-30,q_95_emp,30,r
2020-11-30,q_5_est,8,r
2020-11-30,q_05,1,r
2020-11-30,q_95,18,r
2020-12-01,q_5_emp,10,r
2020-12-01,q_05_emp,2,r
2020-12-01,q_95_emp,21,r
2020-12-01,q_5_est,8,r
2020-12-01,q_05,1,r
2020-12-01,q_95,22,r
2020-12-02,q_5_emp,9,r
2020-12-02,q_05_emp,2,r
2020-12-02,q_95_emp,15,r
2020-12-02,q_5_est,8,r
2020-12-02,q_05,2,r
2020-12-02,q_95,21,r
2020-12-03,q_5_emp,8,r
2020-12-03,q_05_emp,5,r
2020-12-03,q_95_emp,19,r
2020-12-03,q_5_est,8,r
2020-12-03,q_05,1,r
2020-12-03,q_95,26,r
2020-12-04,q_5_emp,7,r
2020-12-04,q_05_emp,4,r
2020-12-04,q_95_emp,26,r
2020-12-04,q_5_est,7,r
2020-12-04,q_05,4,r
2020-12-04,q_95,32,r
2020-12-05,q_5_emp,10,r
2020-12-05,q_05_emp,3,r
2020-12-05,q_95_emp,17,r
2020-12-05,q_5_est,6,r
2020-12-05,q_05,3,r
2020-12-05,q_95,31,r
2020-12-06,q_5_emp,5,r
2020-12-06,q_05_emp,2,r
2020-12-06,q_95_emp,17,r
2020-12-06,q_5_est,5,r
2020-12-06,q_05,2,r
2020-12-06,q_95,32,r
2020-12-07,q_5_emp,9,r
2020-12-07,q_05_emp,2,r
2020-12-07,q_95_emp,31,r
2020-12-07,q_5_est,8,r
2020-12-07,q_05,1,r
2020-12-07,q_95,31,r
2020-12-08,q_5_emp,7,r
2020-12-08,q_05_emp,1,r
2020-12-08,q_95_emp,22,r
2020-12-08,q_5_est,8,r
2020-12-08,q_05,1,r
2020-12-08,q_95,31,r
2020-12-09,q_5_emp,8,r
2020-12-09,q_05_emp,1,r
2020-12-09,q_95_emp,21,r
2020-12-09,q_5_est,8,r
2020-12-09,q_05,2,r
2020-12-09,q_95,34,r
2020-12-10,q_5_emp,8,r
2020-12-10,q_05_emp,1,r
2020-12-10,q_95_emp,26,r
2020-12-10,q_5_est,8,r
2020-12-10,q_05,1,r
2020-12-10,q_95,34,r
2020-12-11,q_5_emp,11,r
2020-12-11,q_05_emp,4,r
2020-12-11,q_95_emp,34,r
2020-12-11,q_5_est,11,r
2020-12-11,q_05,4,r
2020-12-11,q_95,35,r
2020-12-12,q_5_emp,6,r
2020-12-12,q_05_emp,3,r
2020-12-12,q_95_emp,26,r
2020-12-12,q_5_est,6,r
2020-12-12,q_05,3,r
2020-12-12,q_95,32,r
2020-12-13,q_5_emp,9,r
2020-12-13,q_05_emp,2,r
2020-12-13,q_95_emp,26,r
2020-12-13,q_5_est,9,r
2020-12-13,q_05,2,r
2020-12-13,q_95,31,r
2020-12-14,q_5_emp,8,r
2020-12-14,q_05_emp,1,r
2020-12-14,q_95_emp,24,r
2020-12-14,q_5_est,8,r
