model,crps_7,logs_7,rmse_7,PI_75,PI_90,PI_95
mod_r,0.612803357142857,1.2383602070765554,0.8571428571428571,1,1,1
mod_r,0.6581667678571428,1.281292672796241,0.7142857142857143,1,1,1
mod_r,2.7452927053571425,3.037704048116729,4.285714285714286,1,1,1
mod_r,7.852360491071427,3.867967776758543,10.857142857142858,0.8571428571428571,0.8571428571428571,1
mod_r,13.744999017857143,4.827354154922781,19.571428571428573,0.2857142857142857,0.7142857142857143,0.8571428571428571
mod_r,8.358382705357142,4.25070070429902,10.857142857142858,1,1,1
mod_r,5.9450522321428565,4.007025032457888,8,1,1,1
mod_r,10.019023499999998,4.125122363698699,15,0.7142857142857143,1,1
mod_r,3.527373982142857,3.3048714525085687,5.142857142857143,0.7142857142857143,1,1
mod_r,4.116259883928571,3.281449318790152,6.285714285714286,0.8571428571428571,1,1
mod_r,2.3960818303571427,2.9689032028268376,3.7142857142857144,1,1,1
mod_r2,0.5999804732142856,1.2278739083690255,0.8571428571428571,1,1,1
mod_r2,0.6080951160714284,1.3197984849231987,0.7142857142857143,1,1,1
mod_r2,2.732449464285714,3.061457188283577,3.142857142857143,1,1,1
mod_r2,18.43545339285714,4.577767611324778,26.714285714285715,0.2857142857142857,0.42857142857142855,0.8571428571428571
mod_r2,10.622332678571428,4.5342029306591405,15.142857142857142,0.7142857142857143,0.8571428571428571,0.8571428571428571
mod_r2,18.643581410714283,4.732992683626426,26.714285714285715,0.5714285714285714,0.8571428571428571,1
mod_r2,5.526557749999999,3.969458936571878,5.428571428571429,1,1,1
mod_r2,5.369999982142856,3.6419804421167865,7.571428571428571,0.8571428571428571,1,1
mod_r2,3.726574098214286,3.3450451104675394,5.571428571428571,0.7142857142857143,0.8571428571428571,1
mod_r2,1.9835577142857141,2.924551263480521,2.4285714285714284,1,1,1
mod_r2,3.5413954285714286,3.255408582278702,5.428571428571429,0.7142857142857143,1,1
