variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
phi,341.8765586175,5.13206,14560.186131685354,4.7554395,1.37713,59.363,1.049161670010673,74.21195779273437,24.494388722124665
sigma,0.089028865715,0.0763953,0.06742138336420465,0.06496501158,0.008078676000000002,0.21959130000000002,1.2552655981925798,12.01800561461555,20.83303245605477
N[1],1.01575,1,0.12452234318984032,0,1,1,1.002789650459437,4007.7436244160326,4007.7436244160326
N[2],2.0285,2,0.1693957606639928,0,2,2,1.0004034421730212,4023.660641827526,4019.3082721818246
N[3],1.02425,1,0.16021346569076883,0,1,1,1.000510356442657,3678.5921898525885,3829.9603611469247
N[4],4.04125,4,0.2110913958321101,0,4,4,1.0000320718729219,3571.929290998355,3617.141302707112
N[5],4.06375,4,0.26306508379026167,0,4,5,1.000565351532779,3511.1353173636044,3428.5444054326395
N[6],2.086,2,0.30923762218841383,0,2,3,1.000546874043527,2986.3319505563304,3071.1538577828264
N[7],2.0765,2,0.2857764284222204,0,2,3,1.0006219423468201,3639.6775939369672,3666.024896779834
N[8],1.0795,1,0.28931068968980767,0,1,2,1.0040306169068416,3488.7832553029075,3507.7290429304994
N[9],4.126,4,0.3783646256555796,0,4,5,1.001179666334009,2843.8829148477585,2986.2194530066945
N[10],2.11275,2,0.3592627240978829,0,2,3,1.0008705105540712,3886.1205332892305,3761.13636606102
N[11],1.1175,1,0.3559851560919914,0,1,2,1.000972517008189,3119.080595468499,3307.206380198524
N[12],1.14825,1,0.4120854172350369,0,1,2,1.0036159932385997,3169.6859176174694,3026.5035887328986
N[13],2.28775,2,0.5835538289376713,0,2,3,1.0032319861344734,2340.4079302958353,2695.2425197106404
N[14],4.31675,4,0.6115659741476661,0,4,6,1.0063632655049572,1745.8980127142827,2695.270039693213
N[15],1.36425,1,0.661196818510345,0,1,3,1.0086678557108117,1973.6780258719189,2284.0040239470013
N[16],3.36175,3,0.672681248821185,0,3,5,1.0079212496847108,1566.4847203971262,1821.966788063355
