variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
phi,55.5608747975,3.54982,1662.1017620641987,2.847236931,1.2394515,36.78881999999996,1.0010647049275185,4753.010117042345,2287.910402024542
sigma,0.14192093654535,0.1208115,0.10563989873542333,0.10571308649999998,0.012297965000000001,0.3403854999999999,1.0025763536224652,2155.6125548362197,1939.9734133051586
N[1],2.017,2,0.13496500986726936,0,2,2,0.9994455467589345,4077.816017353822,4098.840594512737
N[2],3.01825,3,0.13936209293863613,0,3,3,0.9998404189851249,4045.1250258161876,4041.120626430619
N[3],6.04175,6,0.22140278295015742,0,6,6,1.0013289202494775,4004.095874490472,3975.762240757055
N[4],2.0305,2,0.18460300530433368,0,2,2,1.0018538493366673,3617.89555451068,3666.011331424302
N[5],2.05125,2,0.23587570209054848,0,2,2,1.000402738401982,4192.191849990015,4200.581456846267
N[6],3.0635,3,0.2607388467155338,0,3,4,0.9995882815587478,3939.312057732584,3916.282107750126
N[7],1.0605,1,0.2517053612802562,0,1,2,1.0004684225425813,4063.8563750909066,4034.2689855577664
N[8],2.0525,2,0.23293199507277257,0,2,3,1.0010855957837117,4053.9531326748843,3338.893463538853
N[9],1.07425,1,0.28940953157980526,0,1,2,0.999750896274873,3929.1935803624497,3853.2246238695925
N[10],2.09325,2,0.3264675830319033,0,2,3,0.9993661524433662,3817.7893012455434,3830.2711288150686
N[11],1.09225,1,0.31978978075599757,0,1,2,0.9999038805399196,3329.5558776474954,3323.5922826876495
N[12],4.11975,4,0.3590851891170963,0,4,5,0.9993984125548129,3817.619413258708,3789.443891937956
N[13],4.1385,4,0.39351806072406514,0,4,5,0.999769582198511,3666.7542609346037,3647.070566839787
N[14],2.21425,2,0.4836376886197594,0,2,3,0.9994932426889932,4099.508830290242,4121.854228501282
N[15],2.20175,2,0.471277479958229,0,2,3,1.0004731571338854,4296.84934709093,4184.929634625898
N[16],1.2495,1,0.536956078704408,0,1,2,1.000448665038128,3964.936033747467,3847.9109836621774
N[17],4.295,4,0.5775451407443399,0,4,5,0.9995920358142069,3599.23502085022,3516.6105245038225
N[18],2.2465,2,0.536478986005609,0,2,3,0.9999130774144296,3758.9513044283644,3641.0236522764053
N[19],1.311,1,0.595287822736174,0,1,2,0.9996430979309955,3783.380950616041,3748.7369118150887
N[20],1.32575,1,0.5981023065431809,0,1,3,1.001095933501496,3818.9581062987127,3959.9154838118325
N[21],1.5225,1,0.7887644054607373,0,1,3,0.9996335236119089,3583.241760557826,3679.361943037351
N[22],3.49625,3,0.7865370923544626,0,3,5,0.9992384829443522,4047.662457412755,4069.7371364991914
N[23],1.6985,1,0.9136774330215797,0,1,3,0.999599139025946,4103.589210272825,3998.9359401110923
