variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
phi,12.92178505,3.044245,118.50587009362593,2.150911602,1.214496,23.255875,1.0001300298174152,6236.835806654713,2588.038726952228
sigma,0.137351057997925,0.1173315,0.09959046852552744,0.09852203172000001,0.012944390000000002,0.33219729999999986,1.0000096989480711,2985.0513078061454,2157.286939293098
N[1],2.035,2,0.1969383055021128,0,2,2,0.9994744420723598,3871.3829935285535,3905.08767681131
N[2],1.04875,1,0.24877481730961407,0,1,1,1.0004544912072826,4252.9676858512585,4244.243151781495
N[3],2.04525,2,0.21497439614463262,0,2,2,0.9997873455335528,3887.3369959390093,3942.5840695092465
N[4],1.058,1,0.2552494624323781,0,1,2,0.9999140496360753,4046.2913124142788,4033.3194278391843
N[5],4.07475,4,0.28316511635577607,0,4,5,1.000938972225038,3920.008814037814,3970.068660434618
N[6],4.10325,4,0.34513651980676585,0,4,5,0.999335601768113,3916.859675407761,3883.194545531825
N[7],2.126,2,0.3823094821411493,0,2,3,0.999677979729619,3974.9493630959487,3951.084597035884
N[8],2.101,2,0.3344053778562552,0,2,3,0.9998710444167538,3902.18287748221,3816.023514589623
N[9],1.16875,1,0.4640336941616733,0,1,2,0.9998061811074355,4157.607522421748,4108.560409466161
N[10],4.182,4,0.45926978148256803,0,4,5,1.0006012812378706,3937.025305070013,3775.1313226578245
N[11],2.1825,2,0.4590712761752278,0,2,3,1.000229345648058,4175.126010509566,4132.59962163081
N[12],1.20925,1,0.5010261413325403,0,1,2,1.000651351135518,3596.66853761936,3349.779632022303
N[13],1.275,1,0.579188108230978,0,1,2,0.999736524541031,4095.316961670073,4024.4761623639624
N[14],1.41925,1,0.7298031177294749,0,1,3,0.9999848941512062,4144.335228400266,4025.7681130337696
N[15],4.394,4,0.7077352769966864,0,4,6,1.0001980028498452,3931.512778267345,3963.1797977150613
N[16],1.53525,1,0.8239703691834575,0,1,3,1.0002034574719239,3892.499744582011,3969.404263610374
N[17],3.6515,3,0.9522470496729841,0,3,6,0.9994206262900729,4272.5105916869325,4040.5753369673107
N[18],3.75225,3,1.0325388475103028,0,3,6,1.0002130642744893,4077.119307263659,4209.078577679493
N[19],3.834,4,1.1147890781094727,1.4826,3,6,1.000049660918506,4072.926602797164,3979.029204423095
N[20],2.83825,2,1.1297814120482566,0,2,5,1.0003709953200677,3968.4326265043255,3950.630511578647
N[21],5.4565,5,1.5729673571236766,1.4826,4,8,1.000747751776225,4144.914620928553,4185.175205768729
N[22],4.38875,4,1.5230572423060256,1.4826,3,7,1.0007396625793359,4377.188164667048,3520.1992973661477
N[23],2.6405,2,1.6649182376875287,1.4826,1,6,1.0001028705130006,4351.0474459360485,3943.854805765854
N[24],5.6955,5,1.6730150910478119,1.4826,4,9,1.0004631330146123,4294.060510457874,3795.7363600621907
N[25],5.00375,5,1.9427247572341773,1.4826,3,9,1.0006534006255532,4178.400741747743,3884.0673148616834
N[26],2.979,3,1.8930015487885712,1.4826,1,7,1.0000448798713246,3953.1525397329524,3091.967445559864
N[27],4.2735,4,2.076240699885484,1.4826,2,8,0.9997857576255605,3740.8029310535194,3211.6500676148385
N[28],3.60625,3,2.1975937504627687,1.4826,1,8,1.0003278198116685,4206.566381852827,3661.652133415988
N[29],3.92175,3,2.4511485001407882,1.4826,1,8,0.9999136120018628,4329.616091634385,3841.4915323143487
N[30],5.64075,5,2.7749080103881876,2.9652,2,11,0.9999177535722986,3816.1274104094864,3762.664808069878
N[31],3.784,3,2.882172918161321,2.9652,0,9,1.00014890011658,4124.884293906717,3744.2400750154047
N[32],3.91875,3,2.9213493471342997,2.9652,0,9,0.999862395896659,4183.84698019159,3988.633950561905
N[33],4.37925,4,3.3403905444943764,2.9652,0,10,1.0007928117607567,3933.000928546083,3484.5687359463345
N[34],5.021,4,3.7103235202817944,2.9652,1,12,0.999867144957505,4406.876946468081,3621.3373450774916
