variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
phi,24.4862129575,3.25677,520.3089037483538,2.3957629919999994,1.2287105,28.563144999999977,1.0023896541419581,1920.812425159126,896.7074709762428
sigma,0.1769079827,0.1437415,0.1233964766416439,0.1014076161,0.0483275,0.41936774999999976,1.1792437938116425,17.574225085297112,38.35474494313701
N[1],2.5e-4,0,0.015811388300841896,0,0,0,1,4016.0965148314435,4016.0965148314435
N[2],3.00325,3,0.056923172451036785,0,3,3,0.9996939726451172,3496.1129416608746,3496.112941660872
N[3],1.0035,1,0.06315652924913384,0,1,1,0.9998155134747765,4040.8414562556354,4040.830811978786
N[4],1.005,1,0.07400249382468856,0,1,1,1.001677933337785,3669.742835713291,3657.930123170423
N[5],2.00875,2,0.09579003827569031,0,2,2,1.0008332267042193,3926.5250597101003,4006.232054186953
N[6],3.007,3,0.08632996707866829,0,3,3,1.000009907523773,3624.2961262480862,3604.146487936934
N[7],6.01475,6,0.12663509233878623,0,6,6,1.002158492098701,2080.754044658997,2275.948597618516
N[8],2.01125,2,0.11012024844359607,0,2,2,1.0005249068838815,3708.203678256335,3746.9617553398066
N[9],2.021,2,0.15673270649523452,0,2,2,1.0005326905178384,2955.9445391858876,3024.9788634999695
N[10],3.0265,3,0.16372064962239247,0,3,3,0.9999182260220197,3454.892824544357,3424.565828177109
N[11],1.0305,1,0.18049347487823045,0,1,1,0.9999107732602593,3558.0254759160257,3554.2365827623275
N[12],2.04,2,0.2083527122769903,0,2,2,0.9996461598347031,3984.372977654821,3961.904076605116
N[13],1.044,1,0.22377783431292397,0,1,1,0.9996641108054389,3857.6623990557587,3809.9138173111414
N[14],2.04375,2,0.21412005826133493,0,2,2,0.999395208279996,3382.8701620940574,3374.7563616316343
N[15],1.0265,1,0.17118725498432197,0,1,1,0.9996385273306717,3414.185232862996,3486.031170544421
N[16],4.0425,4,0.22294882045917183,0,4,4,1.0015726180318332,2651.4712769414705,2684.725548082298
N[17],4.0415,4,0.21630868535923484,0,4,4,0.9998059110867529,2931.862588903703,3061.988469742519
N[18],2.05875,2,0.2526151046508788,0,2,3,0.999446091666189,3184.1563763419035,3252.6086590488835
N[19],2.052,2,0.24962287133689015,0,2,2,0.9995342848872639,3106.8824387053137,3197.6574616302996
N[20],1.066,1,0.2768811401873516,0,1,2,0.9993266435067222,3554.2152415224446,3549.792947482276
N[21],4.06225,4,0.27909570240828807,0,4,5,1.0001283239746799,3287.650016571367,3372.584886968386
N[22],2.054,2,0.2619182129741494,0,2,2,1.0013335663979555,2712.9473189003106,2836.9352980022313
N[23],1.06825,1,0.29088329407632396,0,1,2,1.0001143427494452,3516.594626321423,3506.2048585057137
N[24],1.07025,1,0.2851933928369124,0,1,2,1.00039639412721,2623.225062663429,2658.9282795661193
N[25],1.12775,1,0.4012108922312694,0,1,2,1.001455487461505,2001.7223415327337,1934.4498877781703
N[26],2.15225,2,0.4196593451735561,0,2,3,1.000293712606469,3967.1441844979386,3913.8670751062264
N[27],1.19325,1,0.49240740628410623,0,1,2,1.0011931902225446,2144.521653541005,2681.346958383656
N[28],2.227,2,0.5249189318087535,0,2,3,0.9996680431953175,2323.0043598806665,2824.1304425005746
N[29],1.315,1,0.6307729136679494,0,1,3,0.9995100152857783,2757.874669579601,3035.510563024248
N[30],2.417,2,0.7285215754673847,0,2,4,0.9992242494051711,2910.006060828515,3119.975861844666
N[31],2.47825,2,0.7724481254599765,0,2,4,1.000436984812681,2428.3075806267602,3155.8254818980313
N[32],1.75025,1,1.0127345878048868,0,1,4,0.9997957362505817,1765.4591474656897,2107.4537400394856
N[33],1.029,1,1.2508197861939918,1.4826,0,3,0.9998959812086721,1615.9275611744506,2111.838554438686
N[34],1.46675,1,1.5454745421358766,1.4826,0,4,1.0029075391803435,1366.2414891081476,2414.893769273875
N[35],1.63975,1,1.6916516659288077,1.4826,0,5,1.0033564673664,1122.1598980033716,2611.1442949337365
"p[1,1]",0,0,0,0,0,0,NA,NA,NA
"p[2,1]",0,0,0,0,0,0,NA,NA,NA
"p[3,1]",0.01646691144525,0.01455375,0.009691373031283694,0.008452747379999999,0.0048088575,0.0355319,1.004116655272997,3201.1183073596444,2414.7936761040028
"p[4,1]",0.066117644245,0.0598944,0.03628455270754355,0.033633522299999996,0.020343334999999997,0.13398039999999994,1.0046844231829348,3813.1787489037624,2586.484664387618
"p[5,1]",0.0294732120015,0.0254127,0.018365874322136887,0.0147948654,0.008101030000000002,0.06530953999999997,1.0011526157003108,3886.5888537738865,2427.005886394413
"p[6,1]",0.03075334591525,0.02663315,0.019060754525904992,0.0163834713,0.008075392499999999,0.06778492,1.0017791243800296,3564.7830371019068,2639.634700515101
"p[7,1]",0,0,0,0,0,0,NA,NA,NA
"p[8,1]",0,0,0,0,0,0,NA,NA,NA
"p[9,1]",0,0,0,0,0,0,NA,NA,NA
"p[10,1]",0.01646691144525,0.01455375,0.009691373031283694,0.008452747379999999,0.0048088575,0.0355319,1.004116655272997,3201.1183073596444,2414.7936761040028
"p[11,1]",0.066117644245,0.0598944,0.03628455270754355,0.033633522299999996,0.020343334999999997,0.13398039999999994,1.0046844231829348,3813.1787489037624,2586.484664387618
"p[12,1]",0.0294732120015,0.0254127,0.018365874322136887,0.0147948654,0.008101030000000002,0.06530953999999997,1.0011526157003108,3886.5888537738865,2427.005886394413
"p[13,1]",0.03075334591525,0.02663315,0.019060754525904992,0.0163834713,0.008075392499999999,0.06778492,1.0017791243800296,3564.7830371019068,2639.634700515101
"p[14,1]",0,0,0,0,0,0,NA,NA,NA
"p[15,1]",0,0,0,0,0,0,NA,NA,NA
"p[16,1]",0,0,0,0,0,0,NA,NA,NA
"p[17,1]",0.01646691144525,0.01455375,0.009691373031283694,0.008452747379999999,0.0048088575,0.0355319,1.004116655272997,3201.1183073596444,2414.7936761040028
"p[18,1]",0.066117644245,0.0598944,0.03628455270754355,0.033633522299999996,0.020343334999999997,0.13398039999999994,1.0046844231829348,3813.1787489037624,2586.484664387618
"p[19,1]",0.0294732120015,0.0254127,0.018365874322136887,0.0147948654,0.008101030000000002,0.06530953999999997,1.0011526157003108,3886.5888537738865,2427.005886394413
"p[20,1]",0.03075334591525,0.02663315,0.019060754525904992,0.0163834713,0.008075392499999999,0.06778492,1.0017791243800296,3564.7830371019068,2639.634700515101
"p[21,1]",0,0,0,0,0,0,NA,NA,NA
"p[22,1]",0,0,0,0,0,0,NA,NA,NA
"p[23,1]",0,0,0,0,0,0,NA,NA,NA
"p[24,1]",0.01646691144525,0.01455375,0.009691373031283694,0.008452747379999999,0.0048088575,0.0355319,1.004116655272997,3201.1183073596444,2414.7936761040028
"p[25,1]",0.066117644245,0.0598944,0.03628455270754355,0.033633522299999996,0.020343334999999997,0.13398039999999994,1.0046844231829348,3813.1787489037624,2586.484664387618
"p[26,1]",0.0294732120015,0.0254127,0.018365874322136887,0.0147948654,0.008101030000000002,0.06530953999999997,1.0011526157003108,3886.5888537738865,2427.005886394413
"p[27,1]",0.03075334591525,0.02663315,0.019060754525904992,0.0163834713,0.008075392499999999,0.06778492,1.0017791243800296,3564.7830371019068,2639.634700515101
"p[28,1]",0,0,0,0,0,0,NA,NA,NA
"p[29,1]",0,0,0,0,0,0,NA,NA,NA
"p[30,1]",0,0,0,0,0,0,NA,NA,NA
"p[31,1]",0.0277356048075,0.0239737,0.017231657814753127,0.014843717070000002,0.007599385000000001,0.06041710999999998,1.0071681341867575,2675.8810619304945,2619.337105210573
"p[32,1]",0.10522282857,0.0954393,0.055608768131999685,0.052756022970000004,0.032241205,0.20983494999999983,1.0088107276106109,2490.7000832217377,2466.6383510277496
"p[33,1]",0.04843383808,0.0420444,0.030279902436909326,0.025249789949999994,0.013261165,0.10535379999999998,1.0026028272006828,2784.0256668175043,2789.171407843016
"p[34,1]",0.05060434122,0.0431705,0.03174791661589026,0.02738695785,0.013563595,0.11189534999999999,1.0059865283031706,2231.624926122229,2326.1559757071404
"p[35,1]",0,0,0,0,0,0,NA,NA,NA
"p[36,1]",0,0,0,0,0,0,NA,NA,NA
"p[37,1]",0,0,0,0,0,0,NA,NA,NA
"p[38,1]",0.0277356048075,0.0239737,0.017231657814753127,0.014843717070000002,0.007599385000000001,0.06041710999999998,1.0071681341867575,2675.8810619304945,2619.337105210573
"p[39,1]",0.10522282857,0.0954393,0.055608768131999685,0.052756022970000004,0.032241205,0.20983494999999983,1.0088107276106109,2490.7000832217377,2466.6383510277496
"p[40,1]",0.04843383808,0.0420444,0.030279902436909326,0.025249789949999994,0.013261165,0.10535379999999998,1.0026028272006828,2784.0256668175043,2789.171407843016
"p[41,1]",0.05060434122,0.0431705,0.03174791661589026,0.02738695785,0.013563595,0.11189534999999999,1.0059865283031706,2231.624926122229,2326.1559757071404
"p[42,1]",0,0,0,0,0,0,NA,NA,NA
"p[43,1]",0,0,0,0,0,0,NA,NA,NA
"p[44,1]",0,0,0,0,0,0,NA,NA,NA
"p[45,1]",0.056054845495,0.048410049999999996,0.034467692065427394,0.029121229199999998,0.01553014,0.12026089999999996,1.0015103499254554,2944.1661123916274,2084.4975829192717
"p[46,1]",0.19502328362,0.1795005,0.09830011680606401,0.0979020084,0.063206879999999993,0.37510844999999987,1.0027621073374,1763.1625878694924,2633.368966279743
"p[47,1]",0.096838524725,0.08310909999999999,0.061197660373869096,0.05153161775999999,0.026091189999999997,0.21280099999999996,1.0031579357181148,1883.0037615044484,2498.138381922442
"p[48,1]",0.100348826465,0.08544294999999999,0.06258664183255074,0.053755295370000004,0.026106265,0.22007429999999997,1.0018787683114914,1615.5496229318398,1928.2408230366427
"p[49,1]",0,0,0,0,0,0,NA,NA,NA
"p[50,1]",0,0,0,0,0,0,NA,NA,NA
"p[51,1]",0,0,0,0,0,0,NA,NA,NA
"p[52,1]",0.056054845495,0.048410049999999996,0.034467692065427394,0.029121229199999998,0.01553014,0.12026089999999996,1.0015103499254554,2944.1661123916274,2084.4975829192717
"p[53,1]",0.19502328362,0.1795005,0.09830011680606401,0.0979020084,0.063206879999999993,0.37510844999999987,1.0027621073374,1763.1625878694924,2633.368966279743
"p[54,1]",0.096838524725,0.08310909999999999,0.061197660373869096,0.05153161775999999,0.026091189999999997,0.21280099999999996,1.0031579357181148,1883.0037615044484,2498.138381922442
"p[55,1]",0.100348826465,0.08544294999999999,0.06258664183255074,0.053755295370000004,0.026106265,0.22007429999999997,1.0018787683114914,1615.5496229318398,1928.2408230366427
"p[56,1]",0,0,0,0,0,0,NA,NA,NA
"p[1,2]",0,0,0,0,0,0,NA,NA,NA
"p[2,2]",0.069470897375000007,0.0667128,0.02255343584821569,0.021377312880000002,0.03835866,0.11244544999999999,1.0037692678988874,1807.1208908097835,2513.4376220568515
"p[3,2]",0.236608521725,0.231213,0.06740270417616621,0.06691492709999998,0.13816929999999997,0.3573858999999999,1.0018975643952484,2717.1833630413257,2756.9709087753263
"p[4,2]",0.111399365975,0.106129,0.041489078865611116,0.039399576090000006,0.053958360000000004,0.19012299999999993,1.004633196684521,2687.4375394998215,883.8791345067301
"p[5,2]",0.11962132545,0.11322,0.04444692767661799,0.0420747054,0.06058065,0.1996151,1.000854436990215,2884.6336848784867,2204.963880415044
"p[6,2]",0,0,0,0,0,0,NA,NA,NA
"p[7,2]",0,0,0,0,0,0,NA,NA,NA
"p[8,2]",0,0,0,0,0,0,NA,NA,NA
"p[9,2]",0.069470897375000007,0.0667128,0.02255343584821569,0.021377312880000002,0.03835866,0.11244544999999999,1.0037692678988874,1807.1208908097835,2513.4376220568515
"p[10,2]",0.236608521725,0.231213,0.06740270417616621,0.06691492709999998,0.13816929999999997,0.3573858999999999,1.0018975643952484,2717.1833630413257,2756.9709087753263
"p[11,2]",0.111399365975,0.106129,0.041489078865611116,0.039399576090000006,0.053958360000000004,0.19012299999999993,1.004633196684521,2687.4375394998215,883.8791345067301
"p[12,2]",0.11962132545,0.11322,0.04444692767661799,0.0420747054,0.06058065,0.1996151,1.000854436990215,2884.6336848784867,2204.963880415044
"p[13,2]",0,0,0,0,0,0,NA,NA,NA
"p[14,2]",0,0,0,0,0,0,NA,NA,NA
"p[15,2]",0,0,0,0,0,0,NA,NA,NA
"p[16,2]",0.069470897375000007,0.0667128,0.02255343584821569,0.021377312880000002,0.03835866,0.11244544999999999,1.0037692678988874,1807.1208908097835,2513.4376220568515
"p[17,2]",0.236608521725,0.231213,0.06740270417616621,0.06691492709999998,0.13816929999999997,0.3573858999999999,1.0018975643952484,2717.1833630413257,2756.9709087753263
"p[18,2]",0.111399365975,0.106129,0.041489078865611116,0.039399576090000006,0.053958360000000004,0.19012299999999993,1.004633196684521,2687.4375394998215,883.8791345067301
"p[19,2]",0.11962132545,0.11322,0.04444692767661799,0.0420747054,0.06058065,0.1996151,1.000854436990215,2884.6336848784867,2204.963880415044
"p[20,2]",0,0,0,0,0,0,NA,NA,NA
"p[21,2]",0,0,0,0,0,0,NA,NA,NA
"p[22,2]",0,0,0,0,0,0,NA,NA,NA
"p[23,2]",0.069470897375000007,0.0667128,0.02255343584821569,0.021377312880000002,0.03835866,0.11244544999999999,1.0037692678988874,1807.1208908097835,2513.4376220568515
"p[24,2]",0.236608521725,0.231213,0.06740270417616621,0.06691492709999998,0.13816929999999997,0.3573858999999999,1.0018975643952484,2717.1833630413257,2756.9709087753263
"p[25,2]",0.111399365975,0.106129,0.041489078865611116,0.039399576090000006,0.053958360000000004,0.19012299999999993,1.004633196684521,2687.4375394998215,883.8791345067301
"p[26,2]",0.11962132545,0.11322,0.04444692767661799,0.0420747054,0.06058065,0.1996151,1.000854436990215,2884.6336848784867,2204.963880415044
"p[27,2]",0,0,0,0,0,0,NA,NA,NA
"p[28,2]",0,0,0,0,0,0,NA,NA,NA
"p[29,2]",0,0,0,0,0,0,NA,NA,NA
"p[30,2]",0.112087101775,0.1062825,0.04006797097673087,0.03936221456999999,0.056159645,0.1863268,1.0008300261729204,2901.0500387280686,2752.0341506647833
"p[31,2]",0.33369322375,0.330965,0.0840756890036415,0.086494884,0.20240165000000002,0.47543419999999986,1.000142141114661,4233.88633578133,2603.941334916404
"p[32,2]",0.1641244803,0.1575645,0.058379450238058524,0.057240220800000005,0.082555365,0.2694626,1.0015135413682164,3451.909210999027,3163.902414520096
"p[33,2]",0.180069826425,0.17135499999999998,0.06336331261936337,0.06046784100000004,0.089405195,0.29585685,1.0002584479446899,2760.0030811801826,1608.3328511712705
"p[34,2]",0,0,0,0,0,0,NA,NA,NA
"p[35,2]",0,0,0,0,0,0,NA,NA,NA
"p[36,2]",0,0,0,0,0,0,NA,NA,NA
"p[37,2]",0.112087101775,0.1062825,0.04006797097673087,0.03936221456999999,0.056159645,0.1863268,1.0008300261729204,2901.0500387280686,2752.0341506647833
"p[38,2]",0.33369322375,0.330965,0.0840756890036415,0.086494884,0.20240165000000002,0.47543419999999986,1.000142141114661,4233.88633578133,2603.941334916404
"p[39,2]",0.1641244803,0.1575645,0.058379450238058524,0.057240220800000005,0.082555365,0.2694626,1.0015135413682164,3451.909210999027,3163.902414520096
"p[40,2]",0.180069826425,0.17135499999999998,0.06336331261936337,0.06046784100000004,0.089405195,0.29585685,1.0002584479446899,2760.0030811801826,1608.3328511712705
"p[41,2]",0,0,0,0,0,0,NA,NA,NA
"p[42,2]",0,0,0,0,0,0,NA,NA,NA
"p[43,2]",0,0,0,0,0,0,NA,NA,NA
"p[44,2]",0.208454956075,0.200321,0.0736516399435662,0.0711759195,0.10286024999999999,0.3408526499999999,1.0002872773113236,2334.3964766908116,1432.061480424338
"p[45,2]",0.4859335065,0.49003949999999996,0.11013063139543125,0.11316834059999997,0.29949275000000003,0.6645440999999997,1.001835774198674,1826.090502173002,954.0165120199387
"p[46,2]",0.2534877815,0.2455955,0.08842038219465781,0.09008870639999997,0.12192625,0.4139631,1.0018223035496745,1884.2081714548951,1213.9940092605095
"p[47,2]",0.292585715375,0.28461499999999995,0.09759663157672785,0.09569515829999999,0.1452453,0.46770534999999985,1.0003941444592837,1907.1653350415659,1481.8102019547366
"p[48,2]",0,0,0,0,0,0,NA,NA,NA
"p[49,2]",0,0,0,0,0,0,NA,NA,NA
"p[50,2]",0,0,0,0,0,0,NA,NA,NA
"p[51,2]",0.208454956075,0.200321,0.0736516399435662,0.0711759195,0.10286024999999999,0.3408526499999999,1.0002872773113236,2334.3964766908116,1432.061480424338
"p[52,2]",0.4859335065,0.49003949999999996,0.11013063139543125,0.11316834059999997,0.29949275000000003,0.6645440999999997,1.001835774198674,1826.090502173002,954.0165120199387
